,119739
00,1
01,1
02,1
03,1
04,1
05,1
1,311
10,3
100,2
10000,2
100th,1
100txt,1
100zip,1
101,1
102,1
10234,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
11,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
12,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
13,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
14,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
15,1
150,1
1500,1
151,1
152,1
153,1
154,1
1591,2
1592,1
1593,2
1594,2
1595,3
1596,2
1597,2
1598,2
1599,3
16,1
1601,2
1602,2
1603,1
1604,1
1605,2
1606,2
1607,1
1608,2
1609,3
1611,2
1612,1
17,1
18,1
19,1
19901993,221
1994,1
1a,1
1b,1
1c,2
1d,1
1e,2
1e1,5
1e2,1
1e3,1
1e4,1
1e5,1
1e6,1
1e7,3
1e8,4
1e9,3
1f,1
1f1,1
1f2,1
1f3,5
1f4,1
1f5,1
1f6,1
2,301
20,2
2001,1
2003,2
2011,1
21,1
2122545093,1
22,1
23,1
24,1
24689,1
25,1
26,1
27,1
28,1
29,1
3,49
30,2
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
4,35
40,1
41,1
42,1
43,1
44,1
45,1
4557,1
46,1
47,1
48,1
49,1
5,21
50,2
5000,1
501c3,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
5961887,1
6,10
60,2
61,1
62,1
63,1
64,1
646221541,1
65,1
66,1
67,1
68,1
69,1
7,7
70,1
71,1
72,1
726002026compuservecom,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
8,3
80,1
801,1
809,1
81,1
82,1
83,1
84,1
84116,1
85,1
86,1
87,1
88,1
89,1
9,3
90,5
91,2
92,3
93,2
94,2
95,2
96,2
97,2
98,2
99,2
99712,1
a,14667
aaron,96
aarons,1
abaissiez,1
abandon,4
